area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,sqft_per_bhk
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358.0,2.0,1.0,80.58,2,5933.726067746687,679.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,3,6437.221159974506,523.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,2,5645.1612903225805,620.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,3,6701.771182383915,696.3333333333334
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206.0,2.0,1.0,48.23,2,3999.1708126036483,603.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,2,3478.2608695652175,575.0
Built-up  Area,Ready To Move,Other,3 BHK,2511.0,3.0,3.0,205.0,3,8164.078056551175,837.0
Built-up  Area,Ready To Move,Other,6 Bedroom,4400.0,6.0,3.0,250.0,6,5681.818181818182,733.3333333333334
Super built-up  Area,Ready To Move,Other,3 BHK,1660.0,2.0,2.0,105.0,3,6325.301204819277,553.3333333333334
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,3203.5,2.0,2.0,224.5,4,7007.960043702201,800.875
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,2,5882.35294117647,663.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,3,4588.679245283019,441.6666666666667
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,3,6804.536357571715,499.6666666666667
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0,6,7000.0,500.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,3,5285.285285285286,555.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708.0,2.0,2.0,37.0,2,5225.988700564972,354.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,2,5477.358490566037,530.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,2,7000.0,500.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000.0,2.0,1.0,28.88,2,2888.0,500.0
Super built-up  Area,Ready To Move,Other,3 BHK,1450.0,2.0,2.0,70.0,3,4827.586206896552,483.3333333333333
Plot  Area,Ready To Move,Other,4 Bedroom,1200.0,4.0,2.0,155.0,4,12916.666666666666,300.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,2,6172.83950617284,648.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540.0,3.0,2.0,90.0,3,5844.1558441558445,513.3333333333334
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,4,8465.791292328957,723.5
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,3,3609.0225563909776,443.3333333333333
Built-up  Area,Ready To Move,Other,2 BHK,1200.0,2.0,1.0,65.0,2,5416.666666666667,600.0
Built-up  Area,Ready To Move,Other,3 Bedroom,1200.0,3.0,1.0,90.0,3,7500.0,400.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,3,5515.587529976019,834.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,650.0,1.0,1.0,17.0,2,2615.3846153846152,325.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,3,6250.0,800.0
Super built-up  Area,Ready To Move,Other,2 BHK,1007.0,2.0,2.0,43.0,2,4270.109235352532,503.5
Super built-up  Area,Ready To Move,Other,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667,600.0
Super built-up  Area,Ready To Move,Other,2 BHK,966.0,2.0,2.0,49.9,2,5165.631469979296,483.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,3,6012.269938650306,543.3333333333334
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,3,13963.414634146342,546.6666666666666
Built-up  Area,Ready To Move,Other,2 BHK,782.0,2.0,2.0,55.68,2,7120.204603580562,391.0
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,2,5300.0,630.0
Super built-up  Area,Ready To Move,Other,3 BHK,1800.0,3.0,3.0,120.0,3,6666.666666666667,600.0
Super built-up  Area,Ready To Move,Other,3 BHK,1413.0,2.0,2.0,75.0,3,5307.855626326964,471.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,2,4651.433691756272,558.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,3,3000.0,510.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0,4,6081.081081081081,925.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,3,5606.728073688426,832.3333333333334
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,3,4155.8441558441555,513.3333333333334
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,3,5205.431754874652,478.6666666666667
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,2,6818.181818181818,550.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,3,8409.250175192712,475.6666666666667
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,3,9704.02717127608,687.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,5611.5,4.0,0.0,477.0,4,8500.400962309543,1402.875
Built-up  Area,Ready To Move,Other,4 BHK,2650.0,4.0,2.0,150.0,4,5660.377358490566,662.5
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,3,5344.773790951638,427.3333333333333
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,2,3238.095238095238,525.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,3,4062.5,533.3333333333334
Super built-up  Area,22-Jan,Other,2 BHK,945.0,2.0,1.0,54.0,2,5714.285714285715,472.5
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,2,5200.0,750.0
Built-up  Area,Ready To Move,Other,3 BHK,1870.0,3.0,3.0,110.0,3,5882.35294117647,623.3333333333334
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,3,4687.5,533.3333333333334
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,1.0,1.0,16.5,2,1875.0,440.0
Plot  Area,Ready To Move,Other,4 Bedroom,1200.0,4.0,0.0,210.0,4,17500.0,300.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,3,5407.166123778502,511.6666666666667
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,2,6000.0,475.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0,2,4779.411764705882,680.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005,2,5030.740568234746,536.75
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4,3,3937.5,426.6666666666667
Super built-up  Area,19-Jan,Other,3 BHK,1260.0,2.0,2.0,85.05,3,6750.0,420.0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000.0,8.0,2.0,250.0,8,5000.0,625.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0,5,6983.606557377049,610.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,3,6717.635392341896,521.0166666666667
Super built-up  Area,Ready To Move,Other,2 BHK,1000.0,2.0,1.0,60.0,2,6000.0,500.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167.0,2.0,1.0,43.76,2,3749.7857754927163,583.5
Super built-up  Area,Ready To Move,Other,7 BHK,4000.0,7.0,2.0,225.0,7,5625.0,571.4285714285714
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828.0,3.0,2.0,110.0,3,6017.505470459519,609.3333333333334
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,2,3932.5842696629215,445.0
Super built-up  Area,Ready To Move,Other,3 BHK,1612.0,3.0,3.0,46.74,3,2899.5037220843674,537.3333333333334
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31,3,5339.766081871345,570.0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,1.0,58.0,2,6060.606060606061,478.5
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0,3,3520.0,416.6666666666667
Super built-up  Area,Ready To Move,Other,3 BHK,2795.0,4.0,2.0,235.0,3,8407.871198568873,931.6666666666666
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,2,4444.444444444444,562.5
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6,2,3000.0,510.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667,600.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,3,7780.979827089337,578.3333333333334
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0,3,7073.170731707317,683.3333333333334
Plot  Area,Ready To Move,Other,4 Bedroom,3750.0,4.0,0.0,760.0,4,20266.666666666668,937.5
Built-up  Area,Ready To Move,Other,3 BHK,1350.0,2.0,3.0,48.0,3,3555.5555555555557,450.0
Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0,2,3010.348071495767,531.5
Super built-up  Area,Ready To Move,Other,3 BHK,1904.0,3.0,1.0,150.0,3,7878.151260504202,634.6666666666666
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0,4,10000.0,1050.0
Super built-up  Area,Ready To Move,Other,3 BHK,2000.0,3.0,1.0,175.0,3,8750.0,666.6666666666666
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242.5,2.0,0.0,43.49,2,3500.201207243461,621.25
Super built-up  Area,Ready To Move,Other,3 BHK,1425.0,2.0,2.0,75.0,3,5263.1578947368425,475.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,64.5,3,4300.0,500.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,60.0,2,5660.377358490566,530.0
Built-up  Area,Ready To Move,Other,3 BHK,1470.0,2.0,2.0,70.0,3,4761.9047619047615,490.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,450.0,1.0,1.0,11.0,1,2444.4444444444443,450.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152.0,2.0,1.0,64.5,2,5598.958333333333,576.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,2.0,1.0,56.0,3,4148.148148148148,450.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,3,4193.548387096775,516.6666666666666
Plot  Area,Ready To Move,Other,3 Bedroom,1500.0,3.0,2.0,100.0,3,6666.666666666667,500.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0,1,3500.0,400.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0,1,9503.54609929078,705.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,36.0,2,4675.324675324675,385.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,2,4106.280193236715,621.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0,3,9117.64705882353,566.6666666666666
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0,3,6763.059701492537,714.6666666666666
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0,3,6455.399061032864,568.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2,4859.813084112149,535.0
Plot  Area,Ready To Move,Other,3 Bedroom,1846.0,3.0,2.0,300.0,3,16251.354279523293,615.3333333333334
Super built-up  Area,Ready To Move,Other,2 BHK,1340.0,2.0,2.0,55.7,2,4156.7164179104475,670.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,46.0,2,4487.804878048781,512.5
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2.0,0.0,56.8,2,4446.183953033268,638.75
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,2,4333.333333333333,600.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0,4,4888.888888888889,562.5
Super built-up  Area,Ready To Move,Other,3 BHK,1550.0,2.0,3.0,80.0,3,5161.290322580645,516.6666666666666
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200.0,5.0,2.0,325.0,4,27083.333333333332,300.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,2,5000.0,600.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,2,7385.079125847777,663.5
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186.0,2.0,2.0,58.0,2,4890.387858347386,593.0
Built-up  Area,Ready To Move,Other,3 Bedroom,1783.0,3.0,1.0,115.0,3,6449.8037016264725,594.3333333333334
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,3,4000.0,466.6666666666667
Super built-up  Area,Ready To Move,Other,2 BHK,980.0,2.0,1.0,48.0,2,4897.959183673469,490.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0,2,6381.322957198444,642.5
Super built-up  Area,Ready To Move,Other,3 BHK,912.0,2.0,1.0,70.0,3,7675.438596491228,304.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225.0,2.0,2.0,47.6,2,3885.714285714286,612.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075.0,2.0,1.0,53.0,2,4930.232558139535,537.5
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,3,4285.714285714285,420.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,3,3798.751950078003,427.3333333333333
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909.0,3.0,2.0,88.0,3,4609.743321110529,636.3333333333334
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359.0,2.0,1.0,87.0,2,6401.766004415011,679.5
Built-up  Area,Ready To Move,Other,2 BHK,1207.0,2.0,2.0,43.5,2,3603.976801988401,603.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0,4,10944.700460829494,434.0
Super built-up  Area,20-May,Other,4 BHK,2850.0,4.0,1.0,428.0,4,15017.543859649122,712.5
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,3,4075.2351097178685,531.6666666666666
Built-up  Area,18-Jun,Other,3 BHK,1798.0,3.0,2.0,89.0,3,4949.944382647386,599.3333333333334
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,3,5307.796610169492,491.6666666666667
Super built-up  Area,Ready To Move,Other,3 BHK,1580.0,3.0,3.0,100.0,3,6329.113924050633,526.6666666666666
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,2,5019.305019305019,647.5
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0,6,3916.6666666666665,600.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1.0,1.0,27.0,1,4584.040747028863,589.0
Super built-up  Area,Ready To Move,Other,3 BHK,1415.0,3.0,3.0,78.0,3,5512.367491166077,471.6666666666667
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29,3,5500.279798545048,595.6666666666666
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,3,6994.963626189144,595.6666666666666
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475.0,2.0,3.0,90.0,3,6101.6949152542375,491.6666666666667
Built-up  Area,Ready To Move,Other,4 BHK,2000.0,4.0,1.0,75.5,4,3775.0,500.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28,2,4500.0,492.0
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630.0,2.0,2.0,74.82,3,4590.184049079754,543.3333333333334
Super built-up  Area,Ready To Move,Other,3 BHK,2405.0,4.0,2.0,260.0,3,10810.81081081081,801.6666666666666
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,2,6666.666666666667,540.0
Plot  Area,Ready To Move,Other,2 Bedroom,1500.0,2.0,1.0,115.0,2,7666.666666666667,750.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900.0,3.0,2.0,119.0,3,6263.1578947368425,633.3333333333334
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805.0,2.0,1.0,22.14,2,2750.3105590062114,402.5
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.4,2,4891.587163920208,576.5
Super built-up  Area,Ready To Move,Other,2 BHK,1148.0,2.0,2.0,60.0,2,5226.480836236934,574.0
Super built-up  Area,Ready To Move,Other,2 BHK,1110.0,2.0,2.0,55.0,2,4954.954954954955,555.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100.0,2.0,2.0,42.0,2,3818.181818181818,550.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0,2,8527.131782945737,645.0
Super built-up  Area,Ready To Move,Other,3 BHK,1500.0,2.0,1.0,65.0,3,4333.333333333333,500.0
Super built-up  Area,18-Apr,Other,2 BHK,1080.0,2.0,2.0,39.0,2,3611.1111111111113,540.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0,3,6673.564407656492,644.3333333333334
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0,5,4285.714285714285,700.0
Built-up  Area,Ready To Move,Other,2 BHK,1060.0,2.0,2.0,60.0,2,5660.377358490566,530.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247,645.0
Plot  Area,Ready To Move,Other,8 Bedroom,2600.0,8.0,2.0,180.0,8,6923.076923076923,325.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247,645.0
Super built-up  Area,Ready To Move,Other,3 BHK,1644.0,3.0,3.0,84.0,3,5109.489051094891,548.0
Super built-up  Area,Ready To Move,Other,2 BHK,1285.0,2.0,3.0,72.5,2,5642.023346303502,642.5
